id,torre,piso,numero_puerta,apartamento,tipo_apartamento,area_m2,precio_cop,estado,fecha_venta,fecha_entrega,forma_pago,porcentaje_credito,monto_credito_cop,monto_contado_cop
33,Torre 4,15,1,Torre 4 Apto 1501,3 Alcobas,92,670300000,Disponible,,2028-05-27,,,,
34,Torre 2,11,1,Torre 2 Apto 1101,3 Alcobas,113,818400000,Disponible,,2027-04-12,,,,
35,Torre 4,20,6,Torre 4 Apto 2006,1 Alcoba,57,394100000,Disponible,,2026-11-13,,,,
36,Torre 1,3,3,Torre 1 Apto 303,3 Alcobas,87,641000000,Disponible,,2027-04-08,,,,
37,Torre 2,12,6,Torre 2 Apto 1206,2 Alcobas,67,478700000,Disponible,,2026-12-27,,,,
38,Torre 1,22,6,Torre 1 Apto 2206,Apartaestudio,37,336000000,Vendido,2026-05-30,2027-10-17,Contado,0,0,336000000
39,Torre 1,13,6,Torre 1 Apto 1306,Penthouse,160,1125800000,Vendido,2026-04-05,2027-07-07,Contado,0,0,1125800000
40,Torre 4,22,4,Torre 4 Apto 2204,2 Alcobas,76,528200000,Disponible,,2026-11-23,,,,
41,Torre 4,5,1,Torre 4 Apto 501,3 Alcobas,91,828100000,Disponible,,2028-01-22,,,,
42,Torre 1,13,4,Torre 1 Apto 1304,1 Alcoba,51,442900000,Vendido,2026-01-23,2026-11-14,Crédito,40,177200000,265700000
43,Torre 3,1,3,Torre 3 Apto 103,3 Alcobas,114,776900000,Disponible,,2028-05-10,,,,
44,Torre 1,5,4,Torre 1 Apto 504,3 Alcobas,107,944800000,Vendido,2026-03-12,2026-11-22,Crédito,51,481800000,463000000
45,Torre 3,15,1,Torre 3 Apto 1501,Apartaestudio,30,274900000,Disponible,,2026-09-01,,,,
46,Torre 3,3,5,Torre 3 Apto 305,1 Alcoba,44,314800000,Vendido,2025-10-13,2027-06-14,Crédito,45,141700000,173100000
47,Torre 4,20,5,Torre 4 Apto 2005,1 Alcoba,48,354700000,Disponible,,2027-11-21,,,,
48,Torre 3,6,5,Torre 3 Apto 605,1 Alcoba,44,310000000,Disponible,,2028-01-29,,,,
49,Torre 2,5,2,Torre 2 Apto 502,2 Alcobas,81,670300000,Disponible,,2028-03-04,,,,
50,Torre 1,22,3,Torre 1 Apto 2203,2 Alcobas,60,415600000,Disponible,,2027-12-20,,,,
51,Torre 2,10,5,Torre 2 Apto 1005,Penthouse,166,1146200000,Disponible,,2026-10-28,,,,
52,Torre 3,3,2,Torre 3 Apto 302,1 Alcoba,53,480900000,Vendido,2026-05-19,2027-03-11,Contado,0,0,480900000
53,Torre 3,4,4,Torre 3 Apto 404,2 Alcobas,65,531800000,Vendido,2025-09-25,2027-04-28,Contado,0,0,531800000
54,Torre 2,15,2,Torre 2 Apto 1502,1 Alcoba,46,413600000,Vendido,2026-01-06,2028-01-02,Crédito,36,148900000,264700000
55,Torre 4,10,2,Torre 4 Apto 1002,Apartaestudio,42,334200000,Vendido,2025-06-08,2027-08-25,Crédito,37,123700000,210500000
56,Torre 1,17,5,Torre 1 Apto 1705,Apartaestudio,40,346400000,Disponible,,2026-09-23,,,,
57,Torre 2,5,2,Torre 2 Apto 502,Penthouse,154,1039300000,Disponible,,2028-01-28,,,,
58,Torre 4,2,3,Torre 4 Apto 203,2 Alcobas,62,578200000,Vendido,2025-11-27,2027-04-01,Contado,0,0,578200000
59,Torre 4,15,3,Torre 4 Apto 1503,Apartaestudio,30,202600000,Vendido,2025-06-26,2026-09-24,Crédito,31,62800000,139800000
60,Torre 1,14,3,Torre 1 Apto 1403,3 Alcobas,109,808300000,Vendido,2026-03-20,2026-09-15,Contado,0,0,808300000
61,Torre 2,22,6,Torre 2 Apto 2206,Penthouse,132,960900000,Disponible,,2028-05-21,,,,
62,Torre 4,19,2,Torre 4 Apto 1902,Apartaestudio,38,253700000,Vendido,2025-11-08,2027-03-19,Contado,0,0,253700000
63,Torre 2,2,5,Torre 2 Apto 205,1 Alcoba,45,377000000,Vendido,2025-07-30,2027-03-18,Crédito,35,132000000,245000000
64,Torre 4,21,1,Torre 4 Apto 2101,2 Alcobas,78,678800000,Vendido,2025-06-16,2027-10-20,Contado,0,0,678800000
65,Torre 2,21,1,Torre 2 Apto 2101,2 Alcobas,68,591200000,Vendido,2026-02-21,2026-11-22,Crédito,67,396100000,195100000
66,Torre 4,16,2,Torre 4 Apto 1602,Apartaestudio,34,300800000,Vendido,2025-10-16,2026-09-10,Contado,0,0,300800000
67,Torre 1,7,1,Torre 1 Apto 701,3 Alcobas,99,784600000,Vendido,2026-06-09,2028-06-30,Crédito,33,258900000,525700000
68,Torre 4,11,1,Torre 4 Apto 1101,3 Alcobas,99,929700000,Disponible,,2027-04-11,,,,
69,Torre 3,20,5,Torre 3 Apto 2005,1 Alcoba,43,288300000,Disponible,,2027-11-10,,,,
70,Torre 2,2,5,Torre 2 Apto 205,Penthouse,154,1226700000,Disponible,,2028-06-13,,,,
71,Torre 1,14,6,Torre 1 Apto 1406,Penthouse,128,1076200000,Disponible,,2027-01-23,,,,
72,Torre 2,21,1,Torre 2 Apto 2101,Apartaestudio,36,327400000,Vendido,2025-10-02,2027-02-21,Crédito,34,111300000,216100000
73,Torre 4,9,6,Torre 4 Apto 906,Apartaestudio,36,280000000,Disponible,,2027-01-17,,,,
74,Torre 3,19,2,Torre 3 Apto 1902,2 Alcobas,62,549500000,Vendido,2025-07-04,2027-06-25,Crédito,30,164800000,384700000
75,Torre 3,21,5,Torre 3 Apto 2105,Penthouse,173,1582300000,Vendido,2026-06-05,2026-11-17,Crédito,51,807000000,775300000
76,Torre 1,1,4,Torre 1 Apto 104,Apartaestudio,32,281500000,Disponible,,2027-12-23,,,,
77,Torre 1,10,3,Torre 1 Apto 1003,Penthouse,160,1094800000,Disponible,,2028-04-16,,,,
78,Torre 4,19,5,Torre 4 Apto 1905,Penthouse,146,1247100000,Vendido,2026-01-13,2027-08-27,Contado,0,0,1247100000
79,Torre 2,4,4,Torre 2 Apto 404,2 Alcobas,66,532900000,Vendido,2026-01-06,2028-02-07,Crédito,37,197200000,335700000
80,Torre 4,15,3,Torre 4 Apto 1503,2 Alcobas,63,594700000,Vendido,2026-05-22,2027-06-13,Contado,0,0,594700000
81,Torre 4,19,6,Torre 4 Apto 1906,3 Alcobas,102,872000000,Vendido,2025-06-07,2028-03-13,Contado,0,0,872000000
82,Torre 2,7,1,Torre 2 Apto 701,2 Alcobas,78,679900000,Disponible,,2027-12-15,,,,
83,Torre 3,8,4,Torre 3 Apto 804,1 Alcoba,54,399700000,Disponible,,2027-09-24,,,,
84,Torre 1,16,4,Torre 1 Apto 1604,1 Alcoba,57,487800000,Disponible,,2028-05-14,,,,
85,Torre 3,13,3,Torre 3 Apto 1303,2 Alcobas,64,516700000,Vendido,2026-05-28,2028-05-12,Contado,0,0,516700000
86,Torre 2,4,4,Torre 2 Apto 404,3 Alcobas,96,861800000,Vendido,2025-08-15,2027-08-08,Contado,0,0,861800000
87,Torre 4,21,3,Torre 4 Apto 2103,Apartaestudio,34,278800000,Disponible,,2026-12-02,,,,
88,Torre 1,1,2,Torre 1 Apto 102,3 Alcobas,101,926700000,Vendido,2026-02-11,2027-01-09,Contado,0,0,926700000
89,Torre 2,5,1,Torre 2 Apto 501,Apartaestudio,40,315800000,Disponible,,2028-05-16,,,,
90,Torre 2,4,3,Torre 2 Apto 403,Penthouse,160,1066200000,Disponible,,2026-10-09,,,,
91,Torre 2,4,2,Torre 2 Apto 402,Apartaestudio,40,358300000,Vendido,2026-06-10,2027-09-30,Contado,0,0,358300000
92,Torre 1,9,6,Torre 1 Apto 906,2 Alcobas,64,435800000,Vendido,2025-08-24,2027-08-24,Crédito,34,148200000,287600000
93,Torre 1,8,5,Torre 1 Apto 805,2 Alcobas,61,449800000,Vendido,2026-02-10,2027-11-04,Contado,0,0,449800000
94,Torre 4,5,4,Torre 4 Apto 504,Penthouse,175,1415800000,Disponible,,2026-12-14,,,,
95,Torre 1,20,2,Torre 1 Apto 2002,3 Alcobas,107,992200000,Vendido,2026-03-27,2027-07-15,Crédito,47,466300000,525900000
96,Torre 3,3,1,Torre 3 Apto 301,Apartaestudio,36,326500000,Disponible,,2027-02-04,,,,
97,Torre 3,11,2,Torre 3 Apto 1102,Apartaestudio,37,323000000,Disponible,,2027-09-25,,,,
98,Torre 3,11,1,Torre 3 Apto 1101,Apartaestudio,32,278800000,Vendido,2025-09-02,2028-04-16,Contado,0,0,278800000
99,Torre 3,6,4,Torre 3 Apto 604,Penthouse,134,1139400000,Vendido,2026-06-13,2027-05-06,Crédito,39,444400000,695000000
100,Torre 2,5,4,Torre 2 Apto 504,Apartaestudio,30,246300000,Disponible,,2028-02-23,,,,
101,Torre 3,21,5,Torre 3 Apto 2105,Penthouse,168,1202200000,Vendido,2026-02-15,2026-12-12,Crédito,30,360700000,841500000
102,Torre 1,3,1,Torre 1 Apto 301,2 Alcobas,79,662200000,Disponible,,2028-06-26,,,,
103,Torre 4,13,2,Torre 4 Apto 1302,1 Alcoba,54,462200000,Disponible,,2028-03-20,,,,
104,Torre 4,22,5,Torre 4 Apto 2205,Apartaestudio,38,278300000,Vendido,2026-02-09,2028-06-11,Contado,0,0,278300000
105,Torre 2,7,5,Torre 2 Apto 705,3 Alcobas,94,721000000,Vendido,2026-02-01,2026-12-18,Crédito,50,360500000,360500000
106,Torre 3,10,6,Torre 3 Apto 1006,Penthouse,161,1151000000,Vendido,2026-03-19,2027-01-08,Contado,0,0,1151000000
107,Torre 2,3,1,Torre 2 Apto 301,Penthouse,151,1028600000,Vendido,2025-08-20,2027-01-18,Contado,0,0,1028600000
108,Torre 4,19,3,Torre 4 Apto 1903,1 Alcoba,51,432400000,Disponible,,2026-12-09,,,,
109,Torre 2,21,2,Torre 2 Apto 2102,2 Alcobas,62,556300000,Disponible,,2028-01-28,,,,
110,Torre 3,6,4,Torre 3 Apto 604,3 Alcobas,97,659800000,Vendido,2026-03-13,2028-01-22,Crédito,54,356300000,303500000
111,Torre 1,5,1,Torre 1 Apto 501,1 Alcoba,56,431300000,Disponible,,2026-12-17,,,,
112,Torre 2,5,2,Torre 2 Apto 502,Penthouse,178,1506500000,Disponible,,2027-12-31,,,,
113,Torre 2,17,1,Torre 2 Apto 1701,Penthouse,136,1190900000,Vendido,2026-04-20,2028-01-26,Crédito,51,607400000,583500000
114,Torre 4,8,3,Torre 4 Apto 803,Penthouse,178,1292300000,Vendido,2026-07-20,2028-05-10,Crédito,57,736600000,555700000
115,Torre 3,16,2,Torre 3 Apto 1602,3 Alcobas,104,758000000,Vendido,2026-02-18,2028-01-18,Crédito,50,379000000,379000000
116,Torre 4,2,2,Torre 4 Apto 202,Penthouse,130,1074700000,Disponible,,2027-07-01,,,,
117,Torre 4,13,6,Torre 4 Apto 1306,1 Alcoba,58,465600000,Vendido,2025-08-28,2028-05-15,Contado,0,0,465600000
118,Torre 3,7,3,Torre 3 Apto 703,3 Alcobas,93,676700000,Disponible,,2026-10-23,,,,
119,Torre 2,20,6,Torre 2 Apto 2006,Penthouse,155,1255700000,Vendido,2025-12-03,2027-10-21,Crédito,55,690600000,565100000
120,Torre 1,18,2,Torre 1 Apto 1802,1 Alcoba,53,348000000,Vendido,2026-05-25,2027-11-26,Contado,0,0,348000000
121,Torre 4,19,3,Torre 4 Apto 1903,Penthouse,166,1219900000,Disponible,,2028-04-23,,,,
122,Torre 2,1,6,Torre 2 Apto 106,Apartaestudio,34,222000000,Vendido,2026-07-13,2027-03-27,Contado,0,0,222000000
123,Torre 4,1,1,Torre 4 Apto 101,Penthouse,136,918700000,Vendido,2026-06-08,2028-05-06,Contado,0,0,918700000
124,Torre 2,9,5,Torre 2 Apto 905,Penthouse,167,1297300000,Vendido,2026-07-15,2027-04-03,Crédito,43,557800000,739500000
125,Torre 3,3,5,Torre 3 Apto 305,1 Alcoba,55,463500000,Vendido,2026-01-01,2027-09-29,Crédito,32,148300000,315200000
126,Torre 4,9,5,Torre 4 Apto 905,3 Alcobas,87,789600000,Vendido,2025-08-11,2026-10-20,Crédito,51,402700000,386900000
127,Torre 1,8,2,Torre 1 Apto 802,2 Alcobas,77,505200000,Vendido,2026-06-09,2028-05-07,Crédito,33,166700000,338500000
128,Torre 4,11,6,Torre 4 Apto 1106,Apartaestudio,37,303900000,Vendido,2026-01-18,2027-07-16,Crédito,46,139800000,164100000
129,Torre 4,20,3,Torre 4 Apto 2003,2 Alcobas,66,576300000,Vendido,2025-11-22,2028-06-26,Crédito,36,207500000,368800000
130,Torre 1,13,1,Torre 1 Apto 1301,3 Alcobas,95,710200000,Vendido,2026-06-30,2027-10-30,Crédito,57,404800000,305400000
131,Torre 1,4,4,Torre 1 Apto 404,Apartaestudio,37,265500000,Vendido,2026-02-20,2027-02-17,Crédito,33,87600000,177900000
132,Torre 3,1,5,Torre 3 Apto 105,Penthouse,134,1114100000,Disponible,,2027-07-23,,,,
133,Torre 2,1,4,Torre 2 Apto 104,Apartaestudio,35,267400000,Vendido,2026-03-20,2027-07-24,Contado,0,0,267400000
134,Torre 3,7,5,Torre 3 Apto 705,1 Alcoba,56,374200000,Vendido,2025-10-14,2028-02-18,Contado,0,0,374200000
135,Torre 2,9,2,Torre 2 Apto 902,1 Alcoba,46,400800000,Disponible,,2028-02-22,,,,
136,Torre 2,20,6,Torre 2 Apto 2006,3 Alcobas,100,936300000,Vendido,2026-05-24,2026-11-13,Crédito,36,337100000,599200000
137,Torre 4,8,4,Torre 4 Apto 804,2 Alcobas,78,563000000,Vendido,2026-04-04,2028-04-22,Crédito,61,343400000,219600000
138,Torre 4,19,3,Torre 4 Apto 1903,Penthouse,141,1150100000,Vendido,2026-02-25,2028-01-19,Crédito,64,736100000,414000000
139,Torre 2,9,4,Torre 2 Apto 904,1 Alcoba,47,393000000,Vendido,2026-04-26,2027-08-15,Contado,0,0,393000000
140,Torre 1,22,4,Torre 1 Apto 2204,3 Alcobas,92,819000000,Vendido,2026-07-17,2027-04-20,Crédito,32,262100000,556900000
141,Torre 1,9,6,Torre 1 Apto 906,1 Alcoba,43,318200000,Disponible,,2026-09-16,,,,
142,Torre 4,9,1,Torre 4 Apto 901,2 Alcobas,71,478100000,Vendido,2026-05-26,2027-08-15,Crédito,68,325100000,153000000
143,Torre 2,5,2,Torre 2 Apto 502,1 Alcoba,55,488900000,Disponible,,2027-09-10,,,,
144,Torre 2,15,3,Torre 2 Apto 1503,Apartaestudio,37,334900000,Vendido,2025-09-04,2027-12-03,Contado,0,0,334900000
145,Torre 3,4,6,Torre 3 Apto 406,2 Alcobas,66,617800000,Disponible,,2026-10-13,,,,
146,Torre 3,12,1,Torre 3 Apto 1201,Apartaestudio,38,302500000,Vendido,2025-08-23,2026-10-05,Crédito,40,121000000,181500000
147,Torre 3,6,3,Torre 3 Apto 603,Apartaestudio,37,285500000,Vendido,2026-05-30,2027-11-20,Contado,0,0,285500000
148,Torre 4,21,6,Torre 4 Apto 2106,1 Alcoba,54,406200000,Vendido,2026-04-19,2027-02-20,Contado,0,0,406200000
149,Torre 4,10,4,Torre 4 Apto 1004,Penthouse,168,1205000000,Vendido,2026-01-27,2027-01-13,Crédito,46,554300000,650700000
150,Torre 4,19,3,Torre 4 Apto 1903,2 Alcobas,76,585300000,Disponible,,2027-09-30,,,,
151,Torre 1,15,6,Torre 1 Apto 1506,3 Alcobas,88,677700000,Vendido,2026-04-06,2027-03-26,Contado,0,0,677700000
152,Torre 4,4,3,Torre 4 Apto 403,Penthouse,121,1105200000,Vendido,2025-06-21,2027-08-16,Crédito,58,641000000,464200000
153,Torre 2,6,3,Torre 2 Apto 603,Penthouse,175,1259100000,Vendido,2026-03-13,2028-04-20,Crédito,45,566600000,692500000
154,Torre 3,8,2,Torre 3 Apto 802,3 Alcobas,114,946700000,Vendido,2026-03-04,2027-06-24,Contado,0,0,946700000
155,Torre 3,9,6,Torre 3 Apto 906,1 Alcoba,49,336200000,Vendido,2025-09-07,2027-05-26,Contado,0,0,336200000
156,Torre 1,10,6,Torre 1 Apto 1006,1 Alcoba,50,399600000,Vendido,2026-05-12,2027-08-21,Contado,0,0,399600000
157,Torre 2,22,3,Torre 2 Apto 2203,3 Alcobas,103,820900000,Vendido,2025-12-01,2026-09-02,Crédito,37,303700000,517200000
158,Torre 3,4,1,Torre 3 Apto 401,Penthouse,143,1131500000,Disponible,,2027-03-13,,,,
159,Torre 2,8,3,Torre 2 Apto 803,1 Alcoba,53,391800000,Disponible,,2028-04-29,,,,
160,Torre 1,12,4,Torre 1 Apto 1204,Apartaestudio,30,236600000,Vendido,2026-04-16,2028-04-01,Contado,0,0,236600000
161,Torre 1,1,3,Torre 1 Apto 103,3 Alcobas,106,834000000,Vendido,2026-02-22,2027-11-01,Contado,0,0,834000000
162,Torre 1,5,1,Torre 1 Apto 501,Apartaestudio,33,271100000,Vendido,2025-11-07,2026-11-05,Crédito,35,94900000,176200000
163,Torre 1,2,6,Torre 1 Apto 206,2 Alcobas,82,681000000,Disponible,,2027-10-31,,,,
164,Torre 3,5,2,Torre 3 Apto 502,Apartaestudio,40,325300000,Disponible,,2028-02-23,,,,
165,Torre 2,6,6,Torre 2 Apto 606,2 Alcobas,77,530900000,Disponible,,2026-11-07,,,,
166,Torre 1,19,6,Torre 1 Apto 1906,Penthouse,170,1276100000,Disponible,,2028-02-21,,,,
167,Torre 3,4,1,Torre 3 Apto 401,1 Alcoba,58,477600000,Vendido,2025-11-20,2027-08-11,Crédito,36,171900000,305700000
168,Torre 4,11,1,Torre 4 Apto 1101,2 Alcobas,79,564100000,Vendido,2026-06-28,2026-09-22,Crédito,31,174900000,389200000
169,Torre 2,12,4,Torre 2 Apto 1204,Penthouse,129,1132800000,Disponible,,2027-11-27,,,,
170,Torre 3,19,3,Torre 3 Apto 1903,Penthouse,175,1473200000,Vendido,2025-12-23,2027-09-28,Contado,0,0,1473200000
171,Torre 4,7,6,Torre 4 Apto 706,3 Alcobas,87,798700000,Disponible,,2026-10-19,,,,
172,Torre 2,22,1,Torre 2 Apto 2201,3 Alcobas,85,612200000,Vendido,2025-10-11,2028-05-29,Crédito,50,306100000,306100000
173,Torre 3,4,1,Torre 3 Apto 401,Penthouse,132,1053700000,Disponible,,2027-12-17,,,,
174,Torre 4,5,3,Torre 4 Apto 503,Apartaestudio,35,254200000,Vendido,2025-07-30,2028-05-31,Contado,0,0,254200000
175,Torre 2,20,3,Torre 2 Apto 2003,Penthouse,152,1377000000,Vendido,2026-05-15,2027-10-26,Crédito,44,605900000,771100000
176,Torre 2,10,1,Torre 2 Apto 1001,3 Alcobas,100,920100000,Disponible,,2026-11-26,,,,
177,Torre 4,12,4,Torre 4 Apto 1204,Penthouse,141,940800000,Vendido,2026-05-05,2026-12-29,Contado,0,0,940800000
178,Torre 1,10,4,Torre 1 Apto 1004,2 Alcobas,80,565400000,Disponible,,2027-10-29,,,,
179,Torre 1,20,2,Torre 1 Apto 2002,3 Alcobas,92,658000000,Disponible,,2027-03-17,,,,
180,Torre 1,19,6,Torre 1 Apto 1906,Apartaestudio,41,281800000,Disponible,,2028-05-09,,,,
181,Torre 4,18,3,Torre 4 Apto 1803,3 Alcobas,102,687200000,Vendido,2025-12-28,2027-06-15,Contado,0,0,687200000
182,Torre 2,15,2,Torre 2 Apto 1502,3 Alcobas,102,890600000,Vendido,2026-03-08,2027-07-23,Crédito,30,267200000,623400000
183,Torre 1,14,3,Torre 1 Apto 1403,1 Alcoba,51,481100000,Vendido,2026-06-20,2026-11-13,Crédito,53,255000000,226100000
184,Torre 2,22,3,Torre 2 Apto 2203,Apartaestudio,40,312700000,Vendido,2025-06-19,2026-11-25,Crédito,43,134500000,178200000
185,Torre 2,8,5,Torre 2 Apto 805,2 Alcobas,80,755700000,Vendido,2025-06-08,2026-11-25,Contado,0,0,755700000
186,Torre 3,11,4,Torre 3 Apto 1104,Penthouse,137,1181700000,Vendido,2026-07-03,2027-01-15,Crédito,34,401800000,779900000
187,Torre 1,22,1,Torre 1 Apto 2201,Apartaestudio,35,231000000,Disponible,,2028-02-28,,,,
188,Torre 4,8,5,Torre 4 Apto 805,3 Alcobas,113,866200000,Vendido,2025-08-23,2026-10-21,Crédito,66,571700000,294500000
189,Torre 2,4,2,Torre 2 Apto 402,1 Alcoba,43,286900000,Disponible,,2027-11-03,,,,
190,Torre 1,4,1,Torre 1 Apto 401,Penthouse,162,1500600000,Vendido,2025-06-11,2028-04-10,Contado,0,0,1500600000
191,Torre 2,5,2,Torre 2 Apto 502,1 Alcoba,57,510500000,Vendido,2026-02-17,2028-04-24,Contado,0,0,510500000
192,Torre 3,11,5,Torre 3 Apto 1105,1 Alcoba,58,394800000,Disponible,,2028-03-18,,,,
193,Torre 2,15,2,Torre 2 Apto 1502,3 Alcobas,103,766400000,Vendido,2025-12-26,2027-11-12,Crédito,47,360200000,406200000
194,Torre 1,16,3,Torre 1 Apto 1603,2 Alcobas,70,628500000,Disponible,,2027-08-08,,,,
195,Torre 4,6,3,Torre 4 Apto 603,2 Alcobas,79,543400000,Vendido,2026-03-21,2027-06-25,Crédito,60,326000000,217400000
196,Torre 1,22,1,Torre 1 Apto 2201,Penthouse,147,1322400000,Vendido,2025-10-03,2027-02-18,Crédito,55,727300000,595100000
197,Torre 2,16,2,Torre 2 Apto 1602,3 Alcobas,103,736800000,Vendido,2025-10-08,2026-11-30,Contado,0,0,736800000
198,Torre 3,12,6,Torre 3 Apto 1206,3 Alcobas,101,825500000,Vendido,2026-02-08,2026-11-20,Contado,0,0,825500000
199,Torre 4,2,6,Torre 4 Apto 206,2 Alcobas,68,615900000,Vendido,2026-02-21,2028-04-07,Crédito,45,277200000,338700000
200,Torre 1,7,1,Torre 1 Apto 701,Apartaestudio,40,363700000,Vendido,2026-03-03,2027-07-08,Crédito,62,225500000,138200000
201,Torre 3,5,2,Torre 3 Apto 502,3 Alcobas,92,598800000,Disponible,,2026-09-12,,,,
202,Torre 4,11,2,Torre 4 Apto 1102,3 Alcobas,91,621000000,Vendido,2026-03-08,2027-02-17,Contado,0,0,621000000
203,Torre 3,18,1,Torre 3 Apto 1801,1 Alcoba,51,444500000,Disponible,,2027-04-24,,,,
204,Torre 2,15,5,Torre 2 Apto 1505,2 Alcobas,63,462600000,Disponible,,2027-10-21,,,,
205,Torre 3,18,5,Torre 3 Apto 1805,Penthouse,169,1559600000,Disponible,,2026-10-09,,,,
206,Torre 4,17,4,Torre 4 Apto 1704,2 Alcobas,79,745700000,Vendido,2026-06-03,2027-07-11,Contado,0,0,745700000
207,Torre 2,13,2,Torre 2 Apto 1302,2 Alcobas,75,596700000,Disponible,,2027-08-30,,,,
208,Torre 1,21,4,Torre 1 Apto 2104,Penthouse,157,1281500000,Vendido,2026-03-19,2028-03-14,Contado,0,0,1281500000
209,Torre 4,20,6,Torre 4 Apto 2006,Penthouse,171,1458300000,Disponible,,2027-08-08,,,,
210,Torre 2,7,6,Torre 2 Apto 706,3 Alcobas,85,719200000,Disponible,,2027-05-22,,,,
211,Torre 2,21,6,Torre 2 Apto 2106,1 Alcoba,50,418300000,Vendido,2026-05-27,2027-07-31,Contado,0,0,418300000
212,Torre 3,5,5,Torre 3 Apto 505,1 Alcoba,45,303900000,Vendido,2026-04-08,2027-09-01,Contado,0,0,303900000
213,Torre 2,7,5,Torre 2 Apto 705,2 Alcobas,72,547100000,Vendido,2026-02-02,2027-05-23,Contado,0,0,547100000
214,Torre 3,8,4,Torre 3 Apto 804,Apartaestudio,39,330200000,Disponible,,2028-05-10,,,,
